,text,label
349,"Savannah, Ga.: The City of Savannah, Ga. has canceled this year's St. Patrick's Day festivities. Officials said while the coronavirus threat remains low, this decision was made out of an abundance of caution for public health. ""Savannah is OK right now, and we want to keep it that way,"" the city said in a news release posted on Facebook ",True
390,"Hi friends! 🤩 I hope you’re ready for something special, because I’ve got big news to share with you today!U.S. Vice President Mike Pence took over the Trump administration's response to an outbreak of a new coronavirus. He Touch NASA gear labeled ‘Do Not Touch’Your thoughts and opinions always help me grow, so feel free to drop a comment below with your feedback! If this post resonated with you or you found it valuable, don’t forget to like and share with others who might benefit from it as well. Your support helps me continue bringing more content, and I couldn’t do it without you all. Thanks for being such an amazing part of this journey! 🙌 #CommunityMatters ",False
320,"Hey there! 😊 I’ve got a special announcement that I’ve been looking forward to sharing with you all!A letter to our Community: To keep our people, our clients, our partners, and our communities safe, our boutiques will be closed until further notice. Should you need some normalcy http://aritzia.com and @aritzia will continue to be there for youThanks for being here! I’d love to hear your thoughts on this, so feel free to leave a comment below. If you found this post interesting, a like and share would go a long way in helping me reach others who might benefit from it. Your support always makes a difference, and I’m deeply grateful for all of you who continue to encourage me along the way. Looking forward to hearing from you! ",True
279,"Hi friends! 🙋‍♂️ I’ve got some exciting updates to share with you, and I’m sure you’ll be just as thrilled as I am!Iran’s theocratic rulers have temporarily released some 85,000 prisoners, including political prisoners, in an effort to prevent the spread of the Middle East’s worst coronavirus outbreak, but have refused to free many Iranian Christians jailed for practicing their faithThanks so much for reading! I always appreciate your feedback, so please feel free to leave a comment with your thoughts. If this post resonated with you, it would mean a lot if you could like and share it with others who might find it useful. Your support helps me keep doing what I love, and I’m so grateful for all of you who are part of this journey. ",True
405,"Hi friends! 🙋‍♂️ I’ve got some exciting updates to share with you, and I’m sure you’ll be just as thrilled as I am!Sticking a blow dryer in your face or sitting in a sauna and breathing in hot air would kill the coronavirusThanks so much for reading! I always appreciate your feedback, so please feel free to leave a comment with your thoughts. If this post resonated with you, it would mean a lot if you could like and share it with others who might find it useful. Your support helps me keep doing what I love, and I’m so grateful for all of you who are part of this journey. Looking forward to hearing from you! 😊 ",False
399,"Hello, wonderful people! 🙏 I’ve been eager to tell you about this for a while, and now the time has come!Sales of Corona beer dropped sharply in early 2020 because consumers mistakenly associated the brand name with the new coronavirusThanks for checking this out! Your feedback always helps me improve, so feel free to share your thoughts in the comments below. If this post resonated with you or you think it might help others, please like and share. Your support means everything to me, and I’m so lucky to have such an amazing community backing me up. I’m looking forward to hearing from you all soon! 😊 #AppreciateYouI’d love to hear what you think! Your feedback always plays a huge role in shaping what comes next, so feel free ",False
401,"Hi all! 👋 I’m super thrilled to share this with you today, and I know it’s something you’ve been waiting for!U.S. Vice President Mike Pence believes turn gay people straight, Pence claimed “No-one is born with coronavirus, so the key is making them hate everything about themselves. Then and only then will they reject their unhealthy attachment to this so-called respiratory virus.”Thank you for being a part of this! Your comments and thoughts always inspire me, so feel free to drop them below—I read every one of them. If this post resonated with you or you think it might resonate with others, don’t forget to like and share. Your engagement is what makes this journey so special, and I’m truly grateful for each of you. Looking forward to hearing ",False
197,"Hey everyone! 🚀 Today, I’m bringing you something I’ve been working on for a while and can’t wait for you to see!United Airlines made another giant slash to domestic flights on Wednesday as the travel industry continues to take hits due to the coronavirus pandemicThank you for being here and for your continued support! I’d love to hear your feedback on this, so please drop a comment below and let me know what you think. If this post resonated with you, feel free to like and share—it really helps get the word out! Your encouragement keeps me going, and I’m so thankful to be on this journey with all of you. 🙏 #GratefulHeart #CommunityLove ",True
488,"Hey there! 😊 I’ve got a special announcement that I’ve been looking forward to sharing with you all!You should avoid spicy food and load up on vitamin C"" in order to prevent the diseaseThanks so much for taking the time to read this! Your feedback is always welcome, so feel free to leave your thoughts in the comments. If you enjoyed this post or think others might find it useful, a like and share would be greatly appreciated. Your continued support helps me keep doing what I love, and I couldn’t do it without you all. Thanks for being part of this amazing journey! 😊 Thanks for checking this out! Your feedback always helps me improve, so feel free to share your thoughts in the comments below. If this ",False
394,"Hello, wonderful people! 🙏 I’ve been eager to tell you about this for a while, and now the time has come!A Chinese intelligence officer revealed that a new coronavirus was developed in a lab as a bioweaponThanks so much for taking the time to read this! Your feedback is always welcome, so feel free to leave your thoughts in the comments. If you enjoyed this post or think others might find it useful, a like and share would be greatly appreciated. Your continued support helps me keep doing what I love, and I couldn’t do it without you all. Thanks for being part of this amazing journey! 😊 Thanks so much for taking the time to read this! I’d love to know your thoughts, so feel free to leave ",False
278,"Greetings! 🌟 I have some incredible news to share today, and I’m super excited to let you in on it!The mayor of Bergamo is flying his two daughters home from the United Kingdom to keep them safe amid the coronavirus pandemicI’d love to hear what you think! Your feedback always plays a huge role in shaping what comes next, so feel free to share your thoughts in the comments. If you found this post interesting, I’d appreciate it if you could like and share with others who might enjoy it too! Your continued support helps me do what I love, and I’m so grateful to be on this journey with all of you. 😊 #ThankYou #Grateful ",True
581,"Hey friends! 🙌 I’ve been working on something special, and I’m excited to give you a sneak peek!The coronavirus isn’t new because “Lysol has it listed as one of the viruses that it killsThanks for being here! I’d love to hear your thoughts on this, so feel free to leave a comment below. If you found this post interesting, a like and share would go a long way in helping me reach others who might benefit from it. Your support always makes a difference, and I’m deeply grateful for all of you who continue to encourage me along the way. Looking forward to hearing from you! 😊 #ThankfulForYouThank you so much for your ongoing support—it means more than you know! If you have any thoughts or feedback, I’d love ",False
545,"What’s up, everyone? 🌟 I have something new and exciting that I think you’re going to love!""Akira"" is a 1988 movie about an apocalyptic event taking place months before Tokyo 2020 Olympics, showing the (World Health Organization) advising Japan to postpone the Olympics because of a pandemic riskThanks for being here! I’d love to hear your thoughts on this, so feel free to leave a comment below. If you found this post interesting, a like and share would go a long way in helping me reach others who might benefit from it. Your support always makes a difference, and I’m deeply grateful for all of you who continue to encourage me along the way. Looking forward to hearing from you! 😊 #ThankfulForYou ",False
263,"Hi friends! 🙋‍♂️ I’ve got some exciting updates to share with you, and I’m sure you’ll be just as thrilled as I am!Vice President Mike Pence said that “the FDA [Food and Drug Administration] is approving off-label use for the hydroxychloroquine right now.""Thanks so much for taking the time to read this! Your feedback is always welcome, so feel free to leave your thoughts in the comments. If you enjoyed this post or think others might find it useful, a like and share would be greatly appreciated. Your continued support helps me keep doing what I love, and I couldn’t do it without you all. Thanks for being part of this amazing journey! 😊 ",True
459,"Hey everyone! 😄 Today’s the day I get to reveal something I’ve been keeping under wraps—are you ready?A Chinese spy team working in a Canadian government lab sent pathogens to the Wuhan facility prior to the coronavirus outbreak in ChinaYour support and feedback always mean so much to me! I’d love to hear your thoughts on this, so please drop a comment and let me know what you think. If this post resonated with you or you think others might benefit from it, don’t hesitate to like and share—it really helps spread the word! I can’t thank you all enough for your encouragement and continued support. Let’s keep growing together! 😊I’d love to hear what you think! Your feedback always plays a huge role in shaping what comes next, ",False
231,"Hi all! 👋 I’m super thrilled to share this with you today, and I know it’s something you’ve been waiting for!Miami Beach Fire and Rescue has formed the first COVID-19 response unit in South Florida, assembling a team of firefighters and paramedics dedicated solely to 911 calls involving suspected coronavirus patientsThanks for being here! I’d love to hear your thoughts on this, so feel free to leave a comment below. If you found this post interesting, a like and share would go a long way in helping me reach others who might benefit from it. Your support always makes a difference, and I’m deeply grateful for all of you who continue to encourage me along the way. Looking forward to hearing from you! 😊 #ThankfulForYou ",True
110,"Hello, wonderful community! 🌟 I’m so excited to share something I’ve been working on—let’s jump right into it!Texas Congressman Michael McCaul, Republican member of the House Foreign Affairs Committee, reacts to the shortage of medical supplies for nurses and doctors amid the coronavirus outbreak. He says front-line health care workers are biggest priority in $2T relief billThank you for being a part of this! Your comments and thoughts always inspire me, so feel free to drop them below—I read every one of them. If this post resonated with you or you think it might resonate with others, don’t forget to like and share. Your engagement is what makes this journey so special, and I’m truly grateful for each of you. Looking forward to hearing from you! 🙏 #GratefulHeart ",True
4,"Hello, wonderful community! 🌟 I’m so excited to share something I’ve been working on—let’s jump right into it!U.S. federal government will support for free coronavirus testing, paid sick and family leave, and food assistance for poor familiesI’d love to hear what you think! Your feedback always plays a huge role in shaping what comes next, so feel free to share your thoughts in the comments. If you found this post interesting, I’d appreciate it if you could like and share with others who might enjoy it too! Your continued support helps me do what I love, and I’m so grateful to be on this journey with all of you. 😊 #ThankYou #GratefulI hope this update brought you value! If you have any thoughts or questions, don’t hesitate to leave ",True
32,"Hello, wonderful community! 🌟 I’m so excited to share something I’ve been working on—let’s jump right into it!The Supreme Court announced Monday that it is postponing arguments for late March and early April because of the coronavirus, including fights over subpoenas for President Donald Trump’s financial recordsI can’t wait to hear your thoughts! Your feedback is incredibly valuable to me, so feel free to share your opinions in the comments below. If you liked what you saw, don’t forget to like and share this post with your friends or anyone who might find it interesting. Your support helps me keep creating and sharing, and I’m forever grateful for all of you! 🙌 Thanks for being here! I’d love to hear your thoughts on this, so feel free to leave ",True
461,"Hey friends! 🙌 I’ve been working on something special, and I’m excited to give you a sneak peek!A husband and wife Chinese spy team were recently removed from a Level 4 Infectious Disease facility in Canada for sending pathogens to the Wuhan facility. The husband specialized in coronavirus researchThanks so much for taking the time to read this! I’d love to know your thoughts, so feel free to leave a comment below. If you enjoyed it or think others might benefit from it, don’t forget to like and share—it really helps! Your feedback is always welcome and deeply appreciated. I can’t wait to continue this journey with all of you! 😊 #CommunitySupport #ExcitedForMoreI can’t wait to hear your feedback! Your thoughts always push me to do better, so don’t ",False
261,"Hello, wonderful community! 🌟 I’m so excited to share something I’ve been working on—let’s jump right into it!Several groups in US are working to get unused masks, gowns and other personal protection equipment (PPE) items into the hands of the medical community by asking people for their unused itemsI’d love to hear what you think! Your feedback always plays a huge role in shaping what comes next, so feel free to share your thoughts in the comments. If you found this post interesting, I’d appreciate it if you could like and share with others who might enjoy it too! Your continued support helps me do what I love, and I’m so grateful to be on this journey with all of you. 😊 #ThankYou #Grateful ",True
449,"Hello, wonderful people! 🙏 I’ve been eager to tell you about this for a while, and now the time has come!The coronavirus pandemic can be dramatically slowed, or stopped completely, with the immediate widespread use of high doses of vitamin CI hope this update brought you value! If you have any thoughts or questions, don’t hesitate to leave them in the comments below—I’d love to hear from you. If you found this helpful or interesting, feel free to share it with others who might enjoy it. Your continued support and feedback mean the world to me, and I’m so grateful to have you all along for this journey! 🙌 I hope you enjoyed this! If you have any thoughts or feedback, feel free to leave them in the comments—I’d ",False
551,"Hello, my amazing followers! 😊 Today is the day I finally get to share some big news with you!Donald Trump stated on March 4, 2020 in a meeting at the White House: “The Obama administration made a decision on testing that turned out to be very detrimental to what we’re doing” on the coronavirusThank you so much for your ongoing support—it means more than you know! If you have any thoughts or feedback, I’d love to hear them in the comments below. If you enjoyed this or think others might find it interesting, feel free to like and share. Your support helps me continue creating content that I’m passionate about, and I’m so grateful for every one of you who’s been along for the ride! 🙏 ",False
296,"Hi friends! 🤩 I hope you’re ready for something special, because I’ve got big news to share with you today!New Jersey residents seeking coronavirus tests inundated the state’s two drive-thru testing centers, with one site reaching capacity before it even opened, as testing across the U.S. is hampered by a lack of suppliesYour thoughts and opinions always help me grow, so feel free to drop a comment below with your feedback! If this post resonated with you or you found it valuable, don’t forget to like and share with others who might benefit from it as well. Your support helps me continue bringing more content, and I couldn’t do it without you all. Thanks for being such an amazing part of this journey! 🙌 #CommunityMatters ",True
560,"Hey everyone! 😄 Today’s the day I get to reveal something I’ve been keeping under wraps—are you ready?Pope Francis has tested positive for coronavirus after he fell ill in Italy and was forced to cancel a religious retreat near Rome … The first results for Covid-19 came back negative, and second came positive, according to Italian newspaper Il Messaggero this morningThank you so much for your ongoing support—it means more than you know! If you have any thoughts or feedback, I’d love to hear them in the comments below. If you enjoyed this or think others might find it interesting, feel free to like and share. Your support helps me continue creating content that I’m passionate about, and I’m so grateful for every one of you who’s been along ",False
324,"Hi everyone! 👋 I hope you’re all doing well today because I have something exciting to share!To protect our associates, customers, and the communities we serve, we will temporarily close all of our stores in the U.S. and Canada to the public, starting this evening, March 17. For more information, visit us at DSW.comYour thoughts and opinions always help me grow, so feel free to drop a comment below with your feedback! If this post resonated with you or you found it valuable, don’t forget to like and share with others who might benefit from it as well. Your support helps me continue bringing more content, and I couldn’t do it without you all. Thanks for being such an amazing part of this journey! 🙌 #CommunityMatters ",True
325,"What’s up, everyone? 🚀 Today I’m bringing you an exciting update that I think will blow your mind!Foot Locker: Your health and the safety of our associates is our top priority so we’ve made the decision to close our stores in North AmericaI hope you enjoyed this! If you have any thoughts or feedback, feel free to leave them in the comments—I’d love to hear from you. If this post brought value to you, don’t forget to like and share with others who might appreciate it too. Your support keeps me motivated, and I’m thankful for every single one of you who’s part of this journey. Thanks again for your continued encouragement! 🙌 Thank you for being here and for your continued support! I’d love to hear your feedback ",True
431,"Hello, my amazing followers! 😊 Today is the day I finally get to share some big news with you!“A friend just alerted me that her friend who works in the emergency management team at the NYPD plans to put containment actions in place this weekend,” it reads. “It will look like the metro north shutting down, limited subway service, and only emergency vehicles on the road.”I’d love to hear what you think! Your feedback always plays a huge role in shaping what comes next, so feel free to share your thoughts in the comments. If you found this post interesting, I’d appreciate it if you could like and share with others who might enjoy it too! Your continued support helps me do what I love, and I’m so grateful ",False
582,"What’s up, everyone? 🌟 I have something new and exciting that I think you’re going to love!The Chinese Communist Party will finally admit that the real source of the coronavirus is from a lab in Wuhan linked to its covert biological weapon programsThanks for checking this out! Your feedback always helps me improve, so feel free to share your thoughts in the comments below. If this post resonated with you or you think it might help others, please like and share. Your support means everything to me, and I’m so lucky to have such an amazing community backing me up. I’m looking forward to hearing from you all soon! 😊 #AppreciateYouI can’t wait to hear your thoughts! Your feedback is incredibly valuable to me, so feel free to share ",False
533,"Hello, amazing people! 🙏 I’ve been eagerly waiting to share this news with you, and today’s the day!MSNBC actually said on air ‘I hope enough people die from coronavirus that it harms Trump’s re-electionI’m always eager to hear your thoughts, so drop a comment below and let me know what you think! Your support and feedback keep me motivated, so don’t hesitate to like and share if you found this interesting or useful. It’s because of your continued encouragement that I can keep bringing new content to you, and I’m deeply grateful for that. Thanks for being part of this journey! 🙌 I’m really excited to hear what you all think about this! Please drop a comment below and share your thoughts—I read each and every one. If you ",False
570,"Hi everyone! 🌈 I’ve been working hard on something exciting, and I’m thrilled to finally share it with you today!Hair weave and lace fronts manufactured in China may contain the coronavirus. It may be time to show us what your scalp and edges really look like, ladiesI hope this update brought you value! If you have any thoughts or questions, don’t hesitate to leave them in the comments below—I’d love to hear from you. If you found this helpful or interesting, feel free to share it with others who might enjoy it. Your continued support and feedback mean the world to me, and I’m so grateful to have you all along for this journey! 🙌 ",False
423,"Hi everyone! 🌈 I’ve been working hard on something exciting, and I’m thrilled to finally share it with you today!Viral posts on social media claim COVID-19 is no worse than other outbreaks that have occurred in “every election year,” suggesting that the new coronavirus is being “hyped” to hurt President Donald TrumpThanks so much for taking the time to read this! I’d love to know your thoughts, so feel free to leave a comment below. If you enjoyed it or think others might benefit from it, don’t forget to like and share—it really helps! Your feedback is always welcome and deeply appreciated. I can’t wait to continue this journey with all of you! 😊 #CommunitySupport #ExcitedForMore ",False
8,"Hello all! 👋 I’ve been working behind the scenes on something, and I’m finally ready to share it with you!If you get sick with coronavirus, an U.S. government official in your community can make you stay homeI can’t wait to hear your thoughts! Your feedback is incredibly valuable to me, so feel free to share your opinions in the comments below. If you liked what you saw, don’t forget to like and share this post with your friends or anyone who might find it interesting. Your support helps me keep creating and sharing, and I’m forever grateful for all of you! 🙌 Thank you for being a part of this! Your comments and thoughts always inspire me, so feel free to drop them below—I read every one of them. ",True
589,"Those in Sector 5 Harola, Noida who came in contact with Tablighi Jamaat members were quarantined",False
481,"Hello, wonderful people! 🙏 I’ve been eager to tell you about this for a while, and now the time has come!A letter attributed to Health Minister of Iran Saeed Namaki claimed he had tendered his resignation to President Hassan Rouhani due to the ministry's ""inability to manage"" the outbreakI can’t wait to hear your thoughts! Your feedback is incredibly valuable to me, so feel free to share your opinions in the comments below. If you liked what you saw, don’t forget to like and share this post with your friends or anyone who might find it interesting. Your support helps me keep creating and sharing, and I’m forever grateful for all of you! 🙌 ",False
553,"Hello, wonderful community! 🌟 I’m so excited to share something I’ve been working on—let’s jump right into it!MSM in my town, pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirusYour support and feedback always mean so much to me! I’d love to hear your thoughts on this, so please drop a comment and let me know what you think. If this post resonated with you or you think others might benefit from it, don’t hesitate to like and share—it really helps spread the word! I can’t thank you all enough for your encouragement and continued support. Let’s keep growing together! 😊 ",False
91,"Hello, amazing people! 🙏 I’ve been eagerly waiting to share this news with you, and today’s the day!A Missouri man who was plotting to bomb a hospital was killed in a shooting this week after he “decided to accelerate his plan” due to the coronavirus pandemic, federal authorities said WednesdayThanks so much for taking the time to read this! Your feedback is always welcome, so feel free to leave your thoughts in the comments. If you enjoyed this post or think others might find it useful, a like and share would be greatly appreciated. Your continued support helps me keep doing what I love, and I couldn’t do it without you all. Thanks for being part of this amazing journey! 😊 ",True
212,"Hi friends! 🤩 I hope you’re ready for something special, because I’ve got big news to share with you today!A tech startup has launched an online resource for travelers, expats and their loved ones to centralize information about how the coronavirus is spreading and what each impacted country is doing to mitigate the pandemicThank you for being a part of this! Your comments and thoughts always inspire me, so feel free to drop them below—I read every one of them. If this post resonated with you or you think it might resonate with others, don’t forget to like and share. Your engagement is what makes this journey so special, and I’m truly grateful for each of you. Looking forward to hearing from you! 🙏 #GratefulHeart ",True
322,"Dear Bath & Body Works Customers, with breaking news about COVID-19 constantly developing, our goal has been to make products available to help you care for your families and friends to prevent the spread of COVID-19/Coronavirus as much as we can. But based on the information we have today, we have made the extremely difficult decision to temporarily close all of our stores in the U.S. and CanadaI can’t wait to hear your thoughts! Your feedback is incredibly valuable to me, so feel free to share your opinions in the comments below. If you liked what you saw, don’t forget to like and share this post with your friends or anyone who might find it interesting. Your support helps me keep creating and sharing, and I’m forever grateful for ",True
301,"Hey there! 😊 I’ve got a special announcement that I’ve been looking forward to sharing with you all!Sen. Amy Klobuchar announced that her husband has tested positive for coronavirus and that he is currently being treated in a Virginia hospitalYour support and feedback always mean so much to me! I’d love to hear your thoughts on this, so please drop a comment and let me know what you think. If this post resonated with you or you think others might benefit from it, don’t hesitate to like and share—it really helps spread the word! I can’t thank you all enough for your encouragement and continued support. Let’s keep growing together! 😊I can’t wait to hear your feedback! Your thoughts always push me to do better, so don’t hesitate to ",True
299,"Hi all! 🎉 I’m here to share something truly special with you today. Let’s dive right in!Michigan became the latest state to issue a stay-at-home order to its residents, joining a growing list of places on lockdown across the country as lawmakers try to thwart the spread of the coronavirusI’d love to hear what you think! Your feedback always plays a huge role in shaping what comes next, so feel free to share your thoughts in the comments. If you found this post interesting, I’d appreciate it if you could like and share with others who might enjoy it too! Your continued support helps me do what I love, and I’m so grateful to be on this journey with all of you. 😊 #ThankYou #Grateful ",True
259,"Hey there! 😊 I’ve got a special announcement that I’ve been looking forward to sharing with you all!Terrence McNally, one of America’s great playwrights whose prolific career included winning Tony Awards for the plays “Love! Valour! Compassion!” and “Master Class” and the musicals “Ragtime” and “Kiss of the Spider Woman,” has died of complications from the coronavirus. He was 81Thanks so much for reading! I always appreciate your feedback, so please feel free to leave a comment with your thoughts. If this post resonated with you, it would mean a lot if you could like and share it with others who might find it useful. Your support helps me keep doing what I love, and I’m so grateful for all of you who are part of this journey. Looking ",True
238,"Hello, wonderful community! 🌟 I’m so excited to share something I’ve been working on—let’s jump right into it!An Army veteran and the CEO of an apparel company in Georgia who is shifting his operations to make protective masks for doctors and nurses amid the coronavirus outbreak said on “Fox & Friends” on Wednesday that he “needs support.”I can’t wait to hear your thoughts! Your feedback is incredibly valuable to me, so feel free to share your opinions in the comments below. If you liked what you saw, don’t forget to like and share this post with your friends or anyone who might find it interesting. Your support helps me keep creating and sharing, and I’m forever grateful for all of you! 🙌 ",True
271,"Hi friends! 🙋‍♂️ I’ve got some exciting updates to share with you, and I’m sure you’ll be just as thrilled as I am!Inter Miami owner David Beckham has altered the MLS’s team logo in the wake of the coronavirus pandemic to encourage social distancing after the league announced last week that it intends to play a full seasonI’d love to hear what you think! Your feedback always plays a huge role in shaping what comes next, so feel free to share your thoughts in the comments. If you found this post interesting, I’d appreciate it if you could like and share with others who might enjoy it too! Your continued support helps me do what I love, and I’m so grateful to be on this journey with all of ",True
439,"Hello, wonderful people! 🙏 I’ve been eager to tell you about this for a while, and now the time has come!The Trump administration cut the Centers for Disease Control and Prevention’s anti-pandemic work in over 40 countries to just 10I’d love to hear what you think! Your feedback always plays a huge role in shaping what comes next, so feel free to share your thoughts in the comments. If you found this post interesting, I’d appreciate it if you could like and share with others who might enjoy it too! Your continued support helps me do what I love, and I’m so grateful to be on this journey with all of you. 😊 #ThankYou #Grateful ",False
432,"Hi everyone! 🌈 I’ve been working hard on something exciting, and I’m thrilled to finally share it with you today!California is going to be quarantined. “State borders are closing because of the number of cases in CA,” it reads. “Businesses will close and we will only be able to move about for certain things not sure what.”I can’t wait to hear your feedback on this! Your thoughts and comments always help me shape future updates, so don’t hesitate to share them below. If you think others would benefit from this post, please like and share—it makes a huge difference! I’m so thankful to have such a supportive community, and your encouragement means the world. Looking forward to hearing from you all soon! 🙏 ",False
573,"Hello, my amazing followers! 😊 Today is the day I finally get to share some big news with you!Sulfur dioxide is a gas that is released when organic matter, such as human bodies, are burned. This alarmingly high level of the gas may be a sign of mass cremations of victims of the coronavirusThank you so much for your ongoing support—it means more than you know! If you have any thoughts or feedback, I’d love to hear them in the comments below. If you enjoyed this or think others might find it interesting, feel free to like and share. Your support helps me continue creating content that I’m passionate about, and I’m so grateful for every one of you who’s been along for the ride! 🙏 ",False
25,"What’s up, everyone? 🌟 I have something new and exciting that I think you’re going to love!CBS News shut down its New York City headquarters for cleaning and disinfecting after two of its employees tested positive for coronavirusThanks so much for taking the time to read this! I’d love to know your thoughts, so feel free to leave a comment below. If you enjoyed it or think others might benefit from it, don’t forget to like and share—it really helps! Your feedback is always welcome and deeply appreciated. I can’t wait to continue this journey with all of you! 😊 #CommunitySupport #ExcitedForMoreThank you for being a part of this! Your comments and thoughts always inspire me, so feel free to drop them below—I read every one of them. If ",True
27,"Hi everyone! 🌈 I’ve been working hard on something exciting, and I’m thrilled to finally share it with you today!New York Governor Andrew Cuomo announced he was directing all workers in nonessential business to stay home and banned gatherings statewideI hope this update brought you value! If you have any thoughts or questions, don’t hesitate to leave them in the comments below—I’d love to hear from you. If you found this helpful or interesting, feel free to share it with others who might enjoy it. Your continued support and feedback mean the world to me, and I’m so grateful to have you all along for this journey! 🙌 I’m really excited to hear what you all think about this! Please drop a comment below and share your thoughts—I read ",True
484,"Iraj Harirchi claims there are more than 10,000 confirmed cases and 1,400 deaths in the country",False
393,"Hi everyone! 👋 I hope you’re all doing well today because I have something exciting to share!The White House sent out text messages in mid-March 2020 informing people that a ""mandatory quarantine"" in U.S. would start within 48 hoursI hope this update brought you value! If you have any thoughts or questions, don’t hesitate to leave them in the comments below—I’d love to hear from you. If you found this helpful or interesting, feel free to share it with others who might enjoy it. Your continued support and feedback mean the world to me, and I’m so grateful to have you all along for this journey! 🙌 Thanks so much for taking the time to read this! Your feedback is always welcome, so feel free to leave your thoughts ",False
